temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
26.790085,88.578156,24.615084,0.275,0.275,1007.9235,98.125,0.17809463,0.45659173,7.6122203,12.446,96.505135,19.23,0.34454167,0.3215
26.31,87.293686,23.953749,0.23333333,0.23333333,1005.5054,97.958336,0.10761653,0.46091372,5.044918,7.890599,232.56479,11.879999,0.39541668,0.37458333
27.85475,79.73782,23.919333,0.25,0.25,1007.2533,91.916664,0.16296391,0.7985713,3.7182343,5.332157,230.46138,10.679999,0.25083333,0.184625
28.755417,74.2303,23.630417,0.05,0.05,1010.01636,39.583332,0.21795022,1.0472034,19.332666,29.564396,157.68124,33.824997,0.24741666,0.21983333
26.438417,90.33428,24.613417,0.23333333,0.23333333,1008.71375,100.0,0.13430052,0.37987736,6.3444686,11.413644,254.31537,14.88,0.380125,0.36508334
23.833084,89.77645,21.989334,0.033333335,0.033333335,956.0209,97.333336,0.11386389,0.32618618,2.021184,3.0028026,183.16682,8.8949995,0.37670833,0.36745834
28.117498,77.80914,23.6925,0.09583334,0.09583334,1007.81195,64.291664,0.15526763,0.8964236,4.059033,5.5497346,181.12306,11.969999,0.161,0.08879167
19.42025,91.33521,17.903584,0.475,0.475,870.1595,98.375,0.11952057,0.21425621,3.6374624,5.673309,198.15347,14.04,0.49870834,0.51070833
26.527918,75.983215,21.552917,0.0,0.0,1000.9203,41.125,0.1811765,0.93782264,9.204739,14.146694,154.51018,23.88,0.10883333,0.119333334
25.991917,92.23362,24.581501,1.6791667,1.6791667,1010.1772,94.0,0.11839208,0.28147328,9.322454,13.769033,127.49692,22.17,0.39341667,0.36045834
26.117666,90.18779,24.363499,0.28333333,0.28333333,1012.05664,98.666664,0.123615235,0.34086898,3.9732351,5.61537,172.19266,14.07,0.37595832,0.36416668
26.188417,82.96733,22.857166,0.09166667,0.09166667,998.5123,44.083332,0.13825308,0.6510194,5.27724,8.252205,218.03116,13.32,0.39133334,0.3655
25.532917,86.131165,22.887083,0.7583333,0.7583333,1011.6129,91.083336,0.12552258,0.5036514,8.175945,12.017789,193.01956,19.83,0.33612502,0.176
27.027918,78.55896,22.615417,0.05,0.05,1006.39453,64.541664,0.17412949,0.8872751,4.749552,7.1792126,236.76794,12.54,0.42483333,0.3775
26.058416,90.65337,24.327168,0.6625,0.6625,1005.1387,94.291664,0.13730833,0.34786925,4.225836,7.528589,168.18855,11.504999,0.39925,0.385875
21.695333,83.336296,18.678667,0.1,0.1,919.53937,99.833336,0.12876505,0.46253604,7.8778825,12.561455,252.0116,25.095,0.33470833,0.34570834
27.86525,69.40297,21.198582,0.004166667,0.004166667,1011.1787,83.583336,0.19027872,1.2795641,6.652286,10.541295,118.04372,16.095,0.15891667,0.15308332
17.6265,94.73913,16.747334,0.14166667,0.14166667,872.02203,98.5,0.073627435,0.11301715,6.495484,9.481103,220.4091,17.475,0.49808332,0.505875
23.061333,71.270905,16.669666,0.0,0.0,976.65656,30.291666,0.19600478,1.0018433,4.4315057,7.014713,190.00223,13.559999,0.13816667,0.177625
27.556751,80.65558,23.815084,0.004166667,0.004166667,1009.82245,99.25,0.1784944,0.74802256,10.86714,18.290464,168.46793,21.195,0.218,0.21629167
21.180418,64.905235,14.161667,0.0,0.0,920.50195,31.791666,0.19932336,0.9292954,9.990027,17.998238,197.82077,25.14,0.252375,0.26175
22.284916,69.49561,15.803666,0.0,0.0,928.9589,34.916668,0.20972234,0.98468816,6.196594,10.929688,183.1643,16.335,0.21066667,0.190375
25.709,60.061478,16.731916,0.0,0.0,948.5981,64.625,0.21755278,1.4846083,6.5359817,10.03827,161.84856,17.655,0.12304167,0.15483333
29.034832,59.16625,18.999416,0.0,0.0,1009.2931,9.708333,0.26005763,1.9088178,9.053215,14.202156,177.42966,22.244999,0.14029166,0.13904166
27.4975,82.99317,24.057917,0.40833333,0.40833333,1008.4747,91.958336,0.20298292,0.7146289,6.3116016,11.386708,142.47354,15.78,0.39675,0.39170834
25.64175,78.554504,21.095917,0.0,0.0,982.0399,72.833336,0.21468283,0.8765586,5.019453,8.083054,232.73682,13.455,0.42395833,0.42475
28.742332,64.413246,20.988167,0.0625,0.0625,1012.18756,68.916664,0.22898631,1.5331362,6.7501044,9.685328,207.15833,18.42,0.12791666,0.105791666
19.747334,88.88874,17.734833,0.5333333,0.5333333,868.8416,95.75,0.1271515,0.29714555,5.7645087,9.790929,103.73712,18.015,0.49754167,0.5084583
